beer_type,rating_score
"Lager - North American Adjunct",8
"Lager - Euro",12
"IPA - International",12
"Pale Ale - English",28
"IPA - American",149
"Pale Ale - American",67
"Lager - Vienna",13
"Pilsner - Other",12
Hefeweizen,13
"Red Ale - American Amber / Red",18
"Lager - Pale",21
"Belgian Strong Dark Ale",6
"IPA - English",16
"Lager - Dortmunder / Export",4
"Pale Wheat Ale - American",8
"IPA - Imperial / Double",62
"Scotch Ale / Wee Heavy",3
"IPA - Session / India Session Ale",16
"Pale Ale - Belgian",8
"Lager - Japanese Rice",3
"Kellerbier / Zwickelbier",5
"Blonde Ale",9
"Blonde Ale - Belgian Blonde / Golden",5
"Winter Ale",5
"Brown Ale - English",3
"Sour - Gose",9
Cider,4
"Lager - Winter",3
"Spiced / Herbed Beer",8
"Saison / Farmhouse Ale",20
Witbier,9
"IPA - White",4
"IPA - Belgian",5
"Fruit Beer",16
"Golden Ale",8
"Brown Ale - American",8
Gluten-Free,3
"Sour - Berliner Weisse",8
"Sour - Farmhouse IPA",3
"Cream Ale",3
"Porter - American",6
"Belgian Strong Golden Ale",3
"Pilsner - German",3
"Lager - IPL (India Pale Lager)",4
"Stout - American Imperial / Double",8
"Stout - Oatmeal",5
"Porter - Imperial / Double",6
"Stout - Imperial / Double",12
"Porter - Other",5
"IPA - Triple",7
"Stout - Russian Imperial",3
"Sour - Ale",11
"Pale Ale - International",4
"Stout - Milk / Sweet",4
"Barleywine - American",3
"IPA - New England",6

