Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Cadence,Max Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Max Depth,Bottom Time,Min Water Temp,Gas Type,Surface Interval,Decompression,Weight,Current,Surface Conditions,Water Type
running,2018-01-27 11:59:18,false,"Tomteboda Running","13.03","955","1:17:16","193","209","5.0","181","187","5:56","5:15","116","138","0.93","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-01-25 10:16:09,false,"Tomteboda Running","5.03","281","29:10","161","172","3.5","179","187","5:47","5:07","39","54","0.96","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-01-24 10:34:15,false,"Tomteboda Running","8.60","636","56:54","191","211","5.0","167","181","6:37","3:30","77","76","0.89","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-01-23 10:32:16,false,"Johanneshov Running","2.59","216","18:14","192","211","4.2","176","183","7:02","4:59","12","32","0.81","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-01-16 11:57:37,false,"Tomteboda Running","3.20","200","19:15","170","196","3.6","179","187","6:01","5:10","15","19","0.93","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-01-15 09:33:41,false,"Day 8/10","15.60","994","1:34:42","178","199","5.0","181","235","6:04","4:47","136","142","0.91","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-01-13 08:36:57,false,"Tomteboda Running","11.96","925","1:13:23","186","207","5.0","181","204","6:08","5:13","121","118","0.90","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-01-12 09:28:27,false,"Tomteboda Running","11.25","904","1:09:24","191","210","5.0","180","185","6:10","4:25","113","111","0.90","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-01-10 12:36:52,false,"Tomteboda Running","6.11","494","40:06","183","206","5.0","171","185","6:34","5:24","27","38","0.89","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-01-09 13:57:35,false,"Tomteboda Running","10.70","905","1:11:17","181","209","5.0","174","187","6:40","5:14","91","95","0.86","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-01-08 08:05:51,false,"Tomteboda Running","10.14","877","1:01:48","202","214","5.0","181","187","6:05","5:19","87","94","0.91","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2017-12-30 08:02:03,false,"Honolulu Running","6.40","514","37:44","194","212","5.0","178","183","5:54","5:05","15","13","0.95","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2017-12-24 07:59:10,false,"Honolulu Running","6.52","526","37:48","200","215","5.0","176","183","5:48","5:20","16","15","0.98","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2017-12-16 10:47:09,false,"Tomteboda Running","5.79","449","32:50","191","210","5.0","179","185","5:40","4:30","34","54","0.99","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2017-12-14 10:32:35,false,"Tomteboda Running","5.14","438","32:09","190","211","5.0","174","245","6:15","4:44","27","27","0.92","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2017-12-13 15:13:17,false,"Tomteboda Running","5.18","424","30:31","196","218","5.0","176","183","5:53","4:58","47","59","0.96","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2017-12-11 09:48:09,false,"Tomteboda Running","6.24","564","36:43","176","208","5.0","178","245","5:53","4:54","65","64","0.95","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
